,trackid,artistname,title,lyrics
10,TRAEHHJ12903CF492F,Dwight Yoakam,You're The One,"You're the one You're the one That made me cry Oh you're the one That laughed at me Then said goodbye You're the one You're the one That made me blue So how's it feel Now that you're the one Its happened to  Now you're back calling me with open arms What happened to the one you met with all that charm You say he's gone And you're alone Well that's a shame But if you think real hard I know you'll see Just who's to blame  Now you're the one You're the one That made me cry Oh you're the one That laughed at me Then said goodbye You're the one You're the one That made me blue So how's it feel Now that you're the one Its happened to  You're begging me to think about the love we shared Yet it seems to me not too long ago, you didn't care The love you left No longer lives Within my heart See the game you played So recklessly Tore it all apart  And you're the one You're the one That made me cry Oh you're the one That laughed at me Then said goodbye You're the one You're the one That made me blue So how's it feel Now that you're the one Its happened to  Oh tell me how's it feel, now that you're the one How's it feel to be the one How's it feel now that you're the one its happened to  You're the one Oh, you're the one You're the one Oh you're the one Your the one Oh you're the one yeah you're the one Oh you're the one Oh you're the one"
11,TRNTALF128EF343800,The Killers,When You Were Young,"You sit there in your heartache Waiting on some beautiful boy To save you from your old ways You play forgiveness Watch it now- here he comes  He doesn't look a thing like Jesus But he talks like a gentlemen Like you imagined when you were young  Can we climb this mountain I don't know Higher now than ever before I know we can make it if we take it slow Let's take it easy  Easy now, watch it go  We're burning down the highway skyline On the back of a hurricane that started turning  When you were young When you were young And sometimes you close your eyes  and see the place where you Used to live When you were young They say the devil's water, it ain't so sweet You don't have to drink right now  But you can dip your feet Every once in a little while You sit there in your heartache Waiting on some beautiful boy To save you from your old ways You play forgiveness Watch it now- here he comes He doesn't look a thing like Jesus But he talks like a gentlemen Like you imagined when you were young When you were young I said he doesn't look a thing like Jesus He doesn't look a thing like Jesus But more than you'll ever know"
12,TRPGPDK12903CCC651,Evanescence,Bring Me To Life,"How can you see into my eyes like open doors? Leading you down into my core, where I've become so numb Without a soul, my spirit's sleeping somewhere cold Until you find it there and lead it back home  (Wake me up) Wake me up inside (I can't wake up) Wake me up inside (save me) Call my name and save me from the dark  (Wake me up) Bid my blood to run (I can't wake up) Before I come undone (save me) Save me from the nothing I've become  Now that I know what I'm without You can't just leave me Breathe into me and make me real Bring me to life  (Wake me up) Wake me up inside (I can't wake up) Wake me up inside (save me) Call my name and save me from the dark  (Wake me up) Bid my blood to run (I can't wake up) Before I come undone (save me) Save me from the nothing I've become  Bring me to life (I've been living a lie, there's nothing inside) Bring me to life  Frozen inside without your touch, without your love Darling, only you are the life among the dead  All this time, I can't believe I couldn't see Kept in the dark, but you were there in front of me I've been sleeping a thousand years, it seems Got to open my eyes to everything  Without a thought, without a voice, without a soul Don't let me die here (there must be something more) Bring me to life  (Wake me up) Wake me up inside (I can't wake up) Wake me up inside (save me) Call my name and save me from the dark  (Wake me up) Bid my blood to run (I can't wake up) Before I come undone (save me) Save me from the nothing I've become  Bring me to life (I've been living a lie, there's nothing inside) Bring me to life"
13,TRPFYYL128F92F7144,Modest Mouse,Float On,"I backed my car into a cop car the other day Well, he just drove off, sometimes life's okay I ran my mouth off a bit too much, oh, what did I say? Well, you just laughed it off, it was all okay  And we'll all float on, okay And we'll all float on, okay And we'll all float on, okay And we'll all float on anyway, well  A fake Jamaican took every last dime with that scam It was worth it just to learn from sleight-of-hand Bad news comes, don't you worry even when it lands Good news will work it's way to all them plans We both got fired on exactly the same day Well, we'll float on, good news is on the way  And we'll all float on, okay And we'll all float on, okay And we'll all float on, okay And we'll all float on, alright  Already we'll all float on Now don't you worry, we'll all float on Alright, already we'll all float on Alright, don't worry, we'll all float on  Alright, already and we'll all float on Alright, already we'll all float on Alright, don't worry even if things end up a bit too heavy We'll all float on, alright  Already we'll all float on Alright, already we'll all float on Okay, don't worry, we'll all float on Even if things get heavy, we'll all float on Alright, already we'll all float on Alright, no don't you worry, we'll all float on Alright, all float on"
14,TRUFTBY128F93450B8,Lady GaGa,Alejandro,"I know that we are young And I know that you may love me But I just can't be with you like this anymore Alejandro  She's got both hands in her pocket And she won't look at you, won't look at you She hides true love en su bolsillo She's got a halo around her finger, around you  You know that I love you, boy Hot like Mexico, rejoice At this point, I've gotta choose Nothing to lose  Don't call my name, don't call my name, Alejandro I'm not your babe, I'm not your babe, Fernando Don't wanna kiss, don't wanna touch Just smoke my cigarette and hush Don't call my name, don't call my name, Roberto  Alejandro, Alejandro Ale-Alejandro, Ale-Alejandro Alejandro, Alejandro Ale-Alejandro, Ale-Alejandro  Stop, please, just let me go Alejandro, just let me go  She's not broken, she's just a baby But her boyfriend's like her dad, just like a dad And all those flames that burned before him Now he's gotta firefight, got cool the bad  You know that I love you, boy Hot like Mexico, rejoice At this point, I've gotta choose Nothing to lose  Don't call my name, don't call my name, Alejandro I'm not your babe, I'm not your babe, Fernando Don't wanna kiss, don't wanna touch Just smoke my cigarette and hush Don't call my name, don't call my name, Roberto  Alejandro, Alejandro Ale-Alejandro, Ale-Alejandro Alejandro, Alejandro Ale-Alejandro, Ale-Alejandro  Don't bother me, don't bother me, Alejandro Don't call my name, don't call my name, bye, Fernando I'm not your babe, I'm not your babe, Alejandro Don't wanna kiss, don't wanna touch, Fernando  Don't call my name, don't call my name, Alejandro I'm not your babe, I'm not your babe, Fernando Don't wanna kiss, don't wanna touch Just smoke my cigarette and hush Don't call my name, don't call my name, Roberto  Alejandro, Alejandro Ale-Alejandro, Ale-Alejandro Alejandro, Alejandro Ale-Alejandro, Ale-Alejandro  Don't call my name, don't call my name, Alejandro I'm not your babe, I'm not your babe, Fernando Don't wanna kiss, don't wanna touch Just smoke my cigarette and hush Don't call my name, don't call my name, Roberto  Alejandro"
15,TRLQTMK128E07810A3,Bon Jovi,Livin' On A Prayer,"Tommy used to work on the docks Union's been on strike  He's down on his luck It's tough, so tough Gina works the diner all day Working for her man  She brings home her pay for love For love  She says: We've got to hold on to what we've got 'Cause it doesn't make a difference if we make it or not We've got each other and that's a lot for love - We'll give it a shot  Wooah We're half way there Woah-oh Livin' on a prayer Take my hand and we'll make it I swear, livin' on a prayer  Tommy got his six string in hock Now he's holding in what he used to make it talk So tough, it's tough Gina dreams of running away When she cries in the night Tommy whispers: Baby It's okay, someday  We've got to hold on to what we've got 'Cause it doesn't make a difference if we make it or not We've got each other and that's a lot for love - We'll give it a shot  Wooah We're half way there Woah-oh Livin' on a prayer Take my hand and we'll make it, I swear Woah-oh Livin' on a prayer Livin' on a prayer  Guitar##  We've got to hold on ready or not You live for the fight when it's all that you've got  Wooah We're half way there Woah-oh Livin' on a prayer  Take my hand and we'll make it, I swear Woah-oh Livin' on a prayer  Wooah We're half way there Woah-oh Livin' on a prayer  Take my hand and we'll make it, I swear Woah-oh Livin' on a prayer Wooah We're half way there"
16,TREMDNV12903CAC420,Black Eyed Peas,I Gotta Feeling,"I gotta feeling That tonight's gonna be a good night That tonight's gonna be a good night That tonight's gonna be a good, good night  A feeling That tonight's gonna be a good night That tonight's gonna be a good night That tonight's gonna be a good, good night  A feeling (oh, oh) That tonight's gonna be a good night That tonight's gonna be a good night That tonight's gonna be a good, good night  A feeling (oh, oh) That tonight's gonna be a good night That tonight's gonna be a good night That tonight's gonna be a good, good night  Tonight's the night Let's live it up I got my money Let's spend it up  Go out and smash it Like Oh My God Jump off that sofa Let's get get off  I know that we'll have a ball If we get down And go out And just loose it all  I feel stressed out I wanna let it go Lets go way out spaced out And loosing all control  Fill up my cup Mozoltov Look at her dancing Just take it off  Let's paint the town We'll shut it down Let's burn the roof And then we'll do it again  Let's do it, let's do it, Let's do it, Let's do it, and do it, and do it, Let's live it up And do it, and do it, and do it, do it, do it, Let's do it, Let's do it, Let's do it Cause  I gotta feeling (oh, oh) That tonight's gonna be a good night That tonight's gonna be a good night That tonight's gonna be a good, good night  A feeling (oh, oh) That tonight's gonna be a good night That tonight's gonna be a good night That tonight's gonna be a good, good night  Tonight's the night (Hey!) Let's live it up (Let's live it up) I got my money (I'm paid) Let's spend it up (Let's spend it up)  Go out and smash it (Smash it) Like Oh My God (Like Oh My God) Jump off that sofa (C'mon) Let's get get off  Fill up my cup (Drank) Mozoltov (La' Chaim) Look at her dancing (Move it Move it) Just take it off  Let's paint the town (paint the town) We'll shut it down (Shut it down) Let's burn the roof And then we'll do it again  Let's do it, let's do it, Let's do it, Let's do it, and do it, and do it, Let's live it up And do it, and do it, and do it, do it, do it, Let's do it, Let's do it, Let's do it, do it, do it, do it  Here we come Here we go We gotta rock (rock, rock, rock, rock)  Easy come Easy go Now we on top (top, top, top, top)  Feel the shot Body rock Rock it don't stop (stop, stop, stop, stop)  Round and round Up and down Around the clock (clock, clock, clock, clock)  Monday, Tuesday, Wednesday, and Thursday Friday, Saturday Saturday to Sunday  Get get get get get with us You know what we say Party every day Pa-pa-p-party every day  And a feeling (oh, oh) That tonight's gonna be a good night That tonight's gonna be a good night That tonight's gonna be a good, good night  A feeling (oh, oh) That tonight's gonna be a good night That tonight's gonna be a good night That tonight's gonna be a good, good night  Oh, oh"
17,TREBDEB12903CC0C56,California Swag District,Teach Me How To Dougie,"They be like smooth(what?) Can you teach me how to dougie? You know why? Cause all da bitches love me(aye) All I need is a beat that's super bumpin And for you, you, and you to back it up and dump it! Put your arms out front, lean side to side They gona be on you when they see you hit dat dougie right? Aint nobody fuckin wit my bro from morningside He go by bubba and he hit dat dance wit thunder I aint from dallas but I d-town boogie I show my moves off and everybody tryna do me I leave da function and all da ladies tryna screw me You just do you and ima do me(all day) Niggas love to hate so they try to screw me Bitches be stuck to me I think they tryna glue me I make the party shine bright when it start to boomin Dis beat was bubblegum so I had to chew it  [Chorus] Teach me how to dougie T-teach me how to dougie Teach me how to dougie T-teach me how to dougie All my bitches love me All my, all my bitches love me All my bitches love me You aint fuckin wit my dougie! x2  [Verse 2] My name is young! For da dudes who don't know me I know I'm from da west but I can teach you how to dougie! Step up in da club and all these bitches bug me All da niggas dancin and none of them know me I hear da crowd screamin like ""aye! get it brody!"" So I'm on my and I take it real low Dey like ""how you da dat?"" he can dougie on the floor And when dat nigga stop they like ""dougie somemore!"" I'm like a nigga kinda tired so, I pass it to da bro! M-bone! show these cats how to do dat down south dance Dat we learned a lil too fast and bought it to da hood And got da whole crew askin...  [Chorus] x2  [Verse 3] Back of the party ion really like to boogie I'm just tryna get bent and meet a thick redbone (Mmm) we do da dougie and da niggas hatin but I'm bout To exscape with a bitch and head home(fuck it) She got her friends so its a 2 man-a And I wana run it even if her legs long She like you my hubby, I think she love me but, I change da subject and I do my dougie But, i dont give a fuck, blow trees, get money Leave 2 heifers feinin like sum playboy bunnies Dey gon make us do da dougie in da middle of da bed And when I asked for some head da bitch looked at me funny Daahhhhhh! bitch you can't tell me nothin starr baked da beat And I just took it out the oven, I just hit the dougie when everybody Clubbin and I hate skinny jeans cuz da burner keep rubbin! (oh! )"
18,TRENTGL128E0780C8E,Coldplay,Clocks,"The lights go out and I can't be saved Tides that I tried to swim against You've put me down upon my knees Oh, I beg, I beg and plead, singing  Come out of things unsaid Shoot an apple off my head, and a Trouble that can't be named A tiger's waiting to be tamed, singing  You are You are  Confusion never stops Closing walls and ticking clocks, gonna Come back and take you home I could not stop that you now know, singing  Come out upon my seas Curse missed opportunities, am I A part of the cure Or am I part of the disease? singing  You are You are You are You are  You are You are  And nothing else compares Oh, nothing else compares And nothing else compares  You are You are  Home, home, where I wanted to go Home, home, where I wanted to go Home, home, where I wanted to go Home, home, where I wanted to go"
19,TRJPXVB128F9316916,Taylor Swift,You Belong With Me,"You're on the phone with your girlfriend—she's upset She's going off about something that you said 'Cause she doesn't get your humor like I do.  I'm in the room, it's a typical Tuesday night. I'm listening to the kind of music she doesn't like. And she'll never know your story like I do  But she wears short skirts I wear t-shirt She's cheer captain And I'm on the bleachers  Dreaming about the day when you wake up and find That what you're looking for has been here the whole time.  If you could see That I'm the one Who understands you Been here all along So, why can't you see You belong with me You belong with me?  Walk in the streets with you in your worn out jeans I can't help thinking this is how it ought to be. Laughing on a park bench thinking to myself ""Hey, isn't this easy?""  And you've got a smile That can light up this whole town I haven't seen it in awhile Since she brought you down.  You say you're fine—I know you better than that Hey, what you doing with a girl like that?  She wears high heels I wear sneakers She's cheer captain And I'm on the bleachers  Dreaming about the day when you wake up and find That what you're looking for has been here the whole time  If you could see That I'm the one Who understands you Been here all along So, why can't you see You belong with me?  Standing by and waiting at your backdoor. All this time how could you not know, baby? You belong with me You belong with me  Oh, I remember you driving to my house In the middle of the night I'm the one who makes you laugh When you know you're 'bout to cry  I know your favorite songs And you tell me about your dreams Think I know where you belong Think I know it's with me  Can't you se that I'm the one Who understands you? Been here all along So, why can't you see You belong with me?  Standing by and waiting at your backdoor. All this time how could you not know, baby? You belong with me You belong with me You belong with me Have you ever thought just maybe You belong with me? You belong with me"
