,trackid,text,title
10,TRMSBLH128F92D262C,rise hero war say son see world well would say say could carry gun 'll even get pay say sound pretty good black leather boot spit-shined bright cut hair look alright march sing become friends learn fight hero war yeah 'll come home 'll damn proud 'll carry flag grave must 'cause flag love flag trust kick door yell command children cry get man take away bag face family friends take clothe piss hand tell stop join beat gun batons hero war yeah 'll come home 'll damn proud 'll carry flag grave must 'cause flag love flag trust walk bullets haze ask stop beg stay press lift gun fire away shell jump smoke sand blood soak collapse flag hand flag white snow hero war see medals scar damn proud bring home flag gather dust flag love flag trust say son see world well would say say could,Hero Of War
11,TRMVWMZ128F92F23AC,killers n't stay emotion electric star align know make decision never make time never make time dark n't stay far n't stay much longer rid decision home exoneration lose eraser forgiver find sun twist days take comfort cause one one dark n't stay far n't stay much longer rid decision home majesty doorstep little boy arm 'll parade around without game plan obligations alarm dark n't stay far n't stay much longer rid decision home dark n't stay far n't stay much longer rid decision home dark,I Can't Stay
12,TRMVRJV128F1488FBC,daft punk something might right time might right one something want say cause something anyway might right one might right time something 've get kind secret share need anything life want anything life 'll miss anyone life love anyone life,Something About Us
13,TRMOYCC128C7196947,doors without hundred days make older since last time saw pretty face thousand lie make colder n't think look miles separate disappear dream face without baby 're still lonely mind think baby dream time without baby 're still dream tonight yeah miles keep rollin people leave way say hello 've hear life overrate hope get better yeah yeah without baby 're still lonely mind think baby dream time without baby 're still dream tonight girl everything know anywhere whoa get hard n't take away love whoa last one fall say get hard wont take away love whoa without baby 're still lonely mind think baby dream time without baby 're still dream tonight girl,Here Without You
14,TRWMFMK128F424EA34,alicia key n't get people live fortune people live fame people live power yeah people live play game people think physical things define within 've know life bore full superficial people want n't want nothing n't baby n't get baby people want diamond ring want everything everything mean nothing n't get yeah people search fountain promise forever young people need three dozen roses way prove love hand world silver platter good would one share one truly care people want n't want nothing n't baby n't get baby people want diamond ring want everything everything mean nothing n't get people want n't want nothing n't baby n't get baby people want diamond ring want everything everything mean nothing n't get yeah n't get baby say nothing whole wide world n't mean thing n't get baby,If I Ain't Got You
15,TRWMZOQ12903CC16CB,jimi hendrix along watchtower must kind way say joker thief much confusion n't get relief businessmen drink wine plowmen dig earth none along line know worth reason get excite thief kindly speak many among feel life joke 've fate let talk falsely hour get late along watchtower princes keep view women come barefoot servants outside cold distance wild cat growl two riders approach wind begin howl along watchtower along watchtower,All Along The Watchtower
16,TRWMAOR128F429831B,justice tthhee ppaarrttyy let tell day pick right clothe hour oooh turn orange karats around neck tonight takin bling dress impress streets taxis showin love 'cause shinin like princess middle thugs club bouncers recognize face waitin line enter place let get party start right let get drink freaky fly right gon stay whole night let get party start right let get drink freaky fly ey-ey-ey-ey-ey-ey-ey-eyyyy callin ladies table throwin back couple bottle tab havin giggle start get crazy table dancin smashin glass start get naughty time show floor play track want girls floor get surround sound wan see fall tryin blast n't takin call let get party start right let get drink freaky fly alright gon stay whole night let get party start right let get drink freaky fly ey-ey-ey-ey-ey-ey-ey-eyyyy know fliest ladies team know make nice fuckin scream gettin ugly club look little trash ballers club know get class bring weirdest cool party get hotel room gettin start better wake fuck cuz sleep uffie hype bitch bangin beat c'mon let take next level let hotel pool finish bottle maybe kiss n't tell rule around must spell lose control 're near let get party start right let get drink freaky fly alright gon stay whole night let get party start right let get drink freaky fly ey-ey-ey-ey-ey-ey-ey-eyyyy,TTHHEE PPAARRTTYY
17,TRWRXSJ128F9314B40,john mayer half heart bear arm imaginary friends free roam make home everywhere 've come crash like realest thing try best understand love bring half heart get grip situation half heart take time half heart get right mind tell n't keep love half heart make believe never love somebody else make plan stay man love lonely song sing 'til day come show another way love bring half heart get grip situation half heart take time half heart get right mind tell n't keep love half heart half heart faith strong fall short long road later hate never give half heart n't stop love n't stop love n't stop love half half heart half heart half heart get real good imagination half heart get half heart get right mind tell half heart n't half heart shotgun wed bride paper ring half heart part man never truly love anything half heart,Half Of My Heart
18,TRWIKPM128F931F1D2,day remember mean lot hey darling hope 're good tonight know n't feel right leave yeah want n't need tell something sweet get 'cause n't come back home till 're sing till everyone sing wait till get home swear make last n't wait till get home swear come tomorrow past well might best hey sweetie well need tonight know n't wan leave yeah want n't help feel complete 're side know n't come home till 're sing till everyone sing wait till get home swear make last n't wait till get home swear come tomorrow past well might best know n't give need even though mean much n't wait everything really happen swear 'll never happy n't dare say friends boy sway know happen eventually everybody sing everybody sing wait till get home everybody sing swear make last everybody sing wait till get home everybody sing swear make last everybody sing,If It Means A Lot To You
19,TRWIKBF128F92DD506,jam blunt goodbye lover disappoint let feel guilty let judge frown 'cause saw end begin yes saw blind know take mine eternal right take soul night may n't stop care touch heart touch soul change life goals love blind know heart blind 've kiss lips hold head share dream share bed know well know smell 've addict goodbye lover goodbye friend one one goodbye lover goodbye friend one one dreamer wake n't break spirit dream take move remember remember use 've see cry 've see smile 've watch sleep father child spend lifetime know fear know mine 've doubt 're fine love swear true live without goodbye lover goodbye friend one one goodbye lover goodbye friend one one still hold hand mine mine asleep bear soul time kneel feet goodbye lover goodbye friend one one goodbye lover goodbye friend one one hollow baby hollow hollow hollow baby hollow hollow,Goodbye My Lover
20,TRWPXOX128F93465C6,muse starlight far away ship take far away far away memories people care live die starlight chase starlight end life n't know worth anymore hold arm want hold arm life electrify life let conspire ignite souls would die feel alive 'll never let promise fade away never fade away hop expectations black hole revelations hop expectations black hole revelations hold arm want hold arm far away ship take far away far away memories people care live die 'll never let promise fade away never fade away hop expectations black hole revelations yeah hop expectations black hole revelations hold arm want hold arm want hold,Starlight
21,TRWSNUJ128F92D3C71,nirvana heart shape box eye like pisces weak 've lock inside heart-shaped box weeks 've draw magnet tar pit trap wish could eat cancer turn black hey wait 've get new complaint forever debt priceless advice hey wait 've get new complaint forever debt priceless advice hey wait 've get new complaint forever debt priceless advice advice meat-eating orchids forgive one yet cut angel hair baby breath break hymen highness leave black throw umbilical noose climb right back hey wait 've get new complaint forever debt priceless advice hey wait 've get new complaint forever debt priceless advice hey wait 've get new complaint forever debt priceless advice advice eye like pisces weak 've lock inside heart-shaped box weeks 've draw magnet tar pit trap wish could eat cancer turn black hey wait 've get new complaint forever debt priceless advice hey wait 've get new complaint forever debt priceless advice hey wait 've get new complaint forever debt priceless advice advice advice advice,Heart Shaped Box
22,TRWSLFM128F429DBA2,killers romeo juliet lovestruck romeo sing streets serenade lay everybody low love song make find streetlight step shade say something like babe juliet say hey romeo nearly give heart attack underneath window sing hey boyfriend back come around sing people like anyway gon juliet dice load start bet explode heart forget forget movie song gon realize time wrong juliet come different streets streets shame dirty mean yes dream dream dream dream real look another one deal fall chain silver fall chain gold fall pretty strangers promise hold promise everything promise thick thin yeah say romeo yeah know use scene juliet make love use cry say love like star love till die place know movie song gon realize time wrong juliet talk like talk love song like way mean everything anything anything except love miss way use keep beat bad company kiss bar rhyme juliet star time juliet make love use cry say love like star love till die place know movie song gon realize time wrong juliet lovestruck romeo sing streets serenade lay everybody low love song make find convenient streetlight step shade say something like babe,Romeo And Juliet
23,TRWVVMX128F1460888,hammer n't touch n't touch n't touch n't touch n't touch music hit hard make say lord thank bless mind rhyme two hype feet feel good know 're superdope homeboy oaktown know beat n't touch tell homeboy n't touch yeah livin know n't touch look eye man n't touch let bust funky lyric n't touch fresh new kick pant get like know wan dance move seat get fly girl catch beat rollin hold pump little bite let know like like cold mission fall back let'em know 're much beat n't touch tell n't touch stand man n't touch sound bell school sucker n't touch give song rhythm make sweat giving'em know talk hammer 're talk 'bout show hype tight singers sweatin pass wipe tape learn gon take burn chart legit either work hard might well quit word know n't touch n't touch break stop hammer time flow say n't groove probably dead wave hand air bust move run finger hair winner dance 're gon get thinner move slide rump minute let bump bump bump bump ... yeah n't touch look man n't touch 'll probably get hype boy 'cause know n't n't touch ring bell school back break stop hammer time n't touch n't touch n't touch break stop hammer time every time see hammer hype dope floor magic mike would ever stop others makin record n't hit tour around world london bay hammer hammer hammer hammer rest play n't touch n't touch n't touch yeah n't touch tell n't touch hype n't touch get outta n't touch,U Can't Touch This
24,TRWDPTD12903D018B5,justin timberlake cry river sun earth n't know ways love take chance make plan bet n't think would come crash n't say already know find chance 'll never n't make sad tell love leave alone tell need call phone girl refuse must confuse guy bridge burn turn cry cry river cry river-er cry river cry river-er yea yea know say somethings better leave unsay n't like talk know n't act like n't know things people tell keep mess head mess head 've pick honesty may blow yea n't say n't say already know find already know chance 'll never chance n't make sad tell love leave alone alone tell need call phone call phone girl refuse must confuse guy like baby bridge burn turn turn cry cry river cry river-er cry river baby cry river-er yea yea damage guess leave damage guess leave damage guess leave damage guess ... leave n't say n't say already know find already know chance 'll never chance n't make sad cry river cry river-er baby cry river cry river-er yea yea cry river baby cry river-er cry river cause 've already cry cry river-er yea yea n't gon cry yea-yea cry river cry river cry river cry river cry river cry cry cry river cry cry cry river cry cry cry river cry cry cry river,Cry Me A River
25,TRWXJOD128F92E58BD,eddie vedder guarantee bend knee way free lift empty cup ask silently destinations accept one breathe circle grow swallow people whole half live say goodnight wive 'll never know get mind full question teacher soul n't come closer 'll like gravity place pull ever someone keep home would everyone come across cage buy think wander never think get indignation pure thoughts alive wind hair feel part everywhere underneath road disappear late night hear tree 're sing dead overhead leave find way consider satellite forever orbit know rule rule know guarantee,Guaranteed
26,TRWKUYR128F42396CB,beirut nantes well long time long time since 've see smile 'll gamble away fright 'll gamble away time year year slip sea well long time long time since 've see smile nobody raise voice another night nantes nobody raise voice another night nantes non t'en prie nous sommes pas chez nous t'assure que n'est pas grave non laisse moi mais qu'est-ce que aujourd'hui j'ai que les hommes dégoûtent vous pensez well long time long time since 've see smile 'll gamble away fright 'll gamble away time year year slip sea well long time long time since 've see smile,Nantes
27,TRWYCBR128F9325C60,explosions sky hand mine instrumental,Your Hand In Mine
28,TRGMZNT128F92DE267,taylor swift tim mcgraw say way blue eye shin put georgia star shame night say lie boy chevy truck tendency gettin stick backroads night right beside summer long time wake find summer think tim mcgraw hope think favorite song one dance night long moon like spotlight lake think happiness hope think little black dress think head chest old fade blue jeans think tim mcgraw hope think september saw month tear thankin god n't see like box beneath bed letter never read three summer back hard find little bittersweet lookin back nice believe think tim mcgraw hope think favorite song one dance night long moon like spotlight lake think happiness hope think little black dress think head chest old fade blue jeans think tim mcgraw hope think back first time since standin street letter leave doorstep first thing 'll read think tim mcgraw hope think favorite song someday 'll turn radio hope take back place think happiness hope think little black dress think head chest old fade blue jeans think tim mcgraw hope think think mmmm ... say way blue eye shine put georgia star shame night say lie,Tim McGraw
29,TRGWVYH12903D019BA,jag panzer reign tyrants neon light flash tyrants raise swords sound metal crash avenue overlords kings black leather word make steel lock doors soon feel knife feel revenge knife 'll get end knife better run life 'cause 're knife bishops street author corruption leaders night wait eruption rider dress black scream fuckin clown bring best fool tear grind hear rumble around blood curdle sound blood stain head body break grind .45 caliber flash life end bang tyrants rule king dead gang reign,Reign Of The Tyrants
30,TRGGMCC128E078EB15,black eye peas hey mama hey mama shit make groove mama get floor move booty mama blast master blastin jamma reeeeeeewiiiiiind cutie cutie make sure move booty shake thing like city sin hey shorty know wan party way body look really make really feel naughty cutie cutie make sure move booty shake thing like city sin hey shorty know wan party way body look really make really feel naughty get naughty naughty style naughty naughty crew everything little bite old bigger bite true niggers know peas come thru never cease noo never die never decease noo multiply like mathamatice drop bomb like middle east bomb bombas base move dramas naw y'all knaw y'all knaw star steady rockin y'alls boulevards lookin hard without bodygaurds y'all come thru will.i.am still stand still mic hand come mama dance drama hey mama shit make groove mama hey get floor move booty mama yaw blast mastas blastin jamma hey shake bambama come mama hey mama shit make groove mama hey get floor move booty mama yaw blast mastas blastin jamma big town stumpas big sound pumpas beat bump bump trunk trunkas girlies club big plump plumpas makin love hip hump hump never quit noooo need carry 9mm clip noooo n't wan squize trigger wan squize tts lubaluba cause show stoppas chief rockas number one chief rockas naw y'all knaw y'all knaw star steady rockin y'alls boulevards rockin girl without body guard fergie crew b.e.p. come take heed take lead come papa dance drama hey mama shit make groove mama yaw get floor move booty mama wuh blast mastas blastin jamma nawwww nawww cutie cutie make sure move booty shake thing like city sin fakin know see shakin way break get whole world quakin richter richter richter richter richter richter steady ready hey shorty know wan party way body look realli make really feel naunughty race swift really take control tippa irie black eye peas thhhheeerre til infinity til infinity til infinity til infinity til infinity tippa onuunuut nosa dima shock nosa dima ting everytime sit hear bling bling wata ting hear blacka sing grind wind madda move perfect time dance dance dancehall riddim 're really nice finga lickin like rice peas chicken stuff hey mama shit make groove mama hey get floor move booty mama yaw blast mastas blastin jamma hey shake bambama come mama hey mama shit make groove mama hey get floor move booty mama yaw blast mastas blastin jamma,Hey Mama
31,TRGRDUH128F42AE383,brad paisley everything yellow pair run shoe holey pair jeans look great cheap sunglasses look great anything want piece chocolate 'take movie n't find thing wear moody saturn sunroof brown hair a-blowing soft place land good feel know warm conversation would n't miss nothing fighter mad lover love everything ever want everything need talk 'cause everything saturday town church girl sunday cross around neck cuss word 'cause monday bubble bath candle baby come kiss one glass wine feel kinda tipsy giver wish could stealer cover picture wallet unborn children mother hand hold knees pray answer prayer song play everything ever want everything need talk 'cause everything voice love hear someday ninety wooden rock chair want rock right beside everyday pass love yeah one lay life everything ever want everything need everything yeah everything everything ever want everything need everything,She's Everything
32,TRGBWKW12903CFC02C,mike posner cooler could write song make fall love would already arm use trick hope like probably n't think 're cooler get designer shade hide face wear around like 're cooler never say hey remember name probably 'cause think 're cooler get high brow shoe feet wear around like n't shit n't know way look step make much noise get figure need everyone eye feel see behind make-up nobody know even think could write song make fall love would already arm use trick hope like probably n't think 're cooler get designer shade hide face wear around like 're cooler never say hey remember name probably 'cause think 're cooler get high brow switch walk n't even look pass n't know way look step make much noise get figure need everyone eye feel see behind make-up nobody know even think 'cause sure seem sure seem get doubt get doubt see see get head cloud could write song make fall love would already arm use trick hope like probably n't think 're cooler get designer shade hide face wear around like 're cooler never say hey remember name probably 'cause think 're cooler,Cooler Than Me
33,TRGBGVQ128F92CEAA2,steely dan reelin years everlasting summer see fade fast grab piece something think gon last well would n't even know diamond hold hand things think precious n't understand reelin years stowin away time gatherin tear enough mine reelin years stowin away time gatherin tear enough mine tellin 're genius since seventeen time 've know still n't know mean weekend college n't turn like plan things pass knowledge n't understand reelin years stowin away time gatherin tear enough mine reelin years stowin away time gatherin tear enough mine spend lot money spend lot time trip make hollywood etch upon mind things 've see find another man things think useless n't understand reelin years stowin away time gatherin tear enough mine reelin years stowin away time gatherin tear enough mine,Reelin' In The Years
34,TRGZDAD128E078F2EC,abba take chance change mind first line honey still free take chance need let know gon around 've get place 're feel 're alone pretty bird fly honey still free take chance gon best n't lie put test let try take chance ask honey take chance dance walk long 're together listen music maybe talk get know better 'cos know 've get much wan dream alone magic want leave afraid love affair think know n't let change mind first line honey still free take chance need let know gon around 've get place 're feel 're alone pretty bird fly honey still free take chance gon best n't lie put test let try take chance come give break take chance take time baby hurry know gon get n't wan hurt meaby n't worry n't gon let let tell love strong enough last things rough magic say waste time n't get mind n't let 'cos love change mind first line honey still free take chance need let know gon around 've get place 're feel 're alone pretty bird fly honey still free take chance gon best baby n't see get put test take chance take chance take chance take chance baa baa honey still free take chance gon best baby n't see get put test take chance take chance take chance take chance baa baa ba-ba honey still free take chance,Take A Chance On Me
35,TRGNOBU128F92E4C4B,avril lavigne 're always need time never think need cry days feel like years alone bed lie make side walk away count step take see much need right 're piece heart miss 're face come know miss 're word need hear always get day make okay miss 've never felt way everything remind clothe leave lie floor smell like love things walk away count step take see much need right 're piece heart miss 're face come know miss 're word need hear always get day make okay miss make forever know yeah yeah ever want know everything give heart soul hardly breathe need feel yeah 're piece heart miss 're face come know miss 're word need hear always get day make okay miss,When You're Gone
36,TRGUQSQ128F425F6A3,cyndi lauper girls want fun come home morning light mother say gon live life right momma dear 're fortunate ones girls wan fun girls wan fun phone ring middle night father yell gon life daddy dear know 're still number one girls wan fun girls wan really want fun work day girls wan fun girls wan girls fun want wan fun girls wan boys take beautiful girl hide away rest world wan one walk sun girls wan fun girls wan really want fun work day girls wan fun girls wan girls fun want wan fun girls wan wan wan girls wan wan girls wan fun girls girls wan fun wan wan wan wan girls wan wan girls wan fun girls girls wan fun workin work day work day girls girls wan fun wan wan girls wan wan girls wan fun girls girls wan fu-un wan wan workin work day wan wan work day girls girls wan fun girls girls wan fun wan wan ...,Girls Just Want To Have Fun
37,TRGUKXL128E07846D5,snow patrol run 'll sing one last time really 've thing right 've barely look every single time know 'll make anywhere away light light choice even hear voice 'll right beside dear louder louder 'll run live hardly speak understand n't raise voice say think might see eye make hard cry say long goodbyes nearly light light choice even hear voice 'll right beside dear louder louder 'll run live hardly speak understand n't raise voice say slower slower n't time want find easier way get little head heart dear 're bind afraid even days make mess light light choice even hear voice 'll right beside dear,Run
38,TRGSPUQ128E0780DA5,coldplay trouble see spider web tangle lose head think stupid things say spider web catch middle turn run think stupid things never mean cause trouble never mean wrong well ever cause trouble never mean harm see spider web middle twist turn little bubble sing never mean cause trouble never mean wrong well ever cause trouble never mean harm spin web spin web spin web,Trouble
39,TRGSVLV128F1493329,amy winehouse know good meet downstairs bar hurt roll sleeves skull t-shirt say today sniff like tanqueray 'cause 're fella guy hand stella fly time door tear men like roger moore cheat like know would tell trouble know good upstairs bed boy place n't get joy think final throes buzzer run meet chip pitta say 'when marry 'cause 're bitter 'll none cry kitchen floor cheat like know would tell trouble know good sweet reunion jamaica spain 're like tub seat lick lips soak feet notice little carpet burn stomach drop gut churn shrug worst truly stick knife first cheat like know would tell trouble know good cheat like know would tell trouble yeah know good,You Know I'm No Good
40,TRGVXFG12903CA4804,luke bryan rain good thing daddy spend life lookin sky cuss kick dust sayin son way dry cloud city weather man complain come rain good thing rain make corn corn make whiskey whiskey make baby feel little frisky back roads boggin buddies pile truck hunt hunnies take 'em town start washin worry drain rain good thing n't nothin like kiss back barn ringin soakin clothe ridin thunderstorm tin roof get talkin best love 've make yeah come rain good thing rain make corn corn make whiskey whiskey make baby feel little frisky back roads boggin buddies pile truck hunt hunnies take 'em town start washin worry drain rain good thing farmer johnson little dance creeks rise roll pant country girls wan cuddle kid playin big mud puddle rain make corn corn make whiskey whiskey make baby back roads boggin buddies pile truck hunt hunnies take 'em town start washin worry drain rain good thing rain good thing rain good thing rain good thing,Rain Is A Good Thing
41,TRGKLSE12903CCC5CD,creed sacrifice hello friend meet awhile begin feel like forever within heart memory perfect love give remember free careless believe others 'll fly bring tear eye sacrifice 've see share quickly life turn around instant feel good reunite within within mind let find peace free careless believe others 'll fly bring tear eye sacrifice want say hello want say hello free careless believe others 'll fly bring tear eye cause free careless believe others 'll fly bring tear eye sacrifice sacrifice want say hello want say hello sacrifice,My Sacrifice
42,TRHMSXC12903CC3F28,asian dub foundation rise challenge rise challenge time tick better start link energies surge vision blur maybe 're feel 're scratch maybe 're feel 've meet match find hard know begin discontent spread wing stand belief faith sound know always turn around feel rhythm heal remedy listen sweet melody feel rhythm heal remedy rise challenge keep risin know rinse turn negative positivewith natural vibe believe rinse mind tongue hand move different directions turn dis disconnection interconnection feel rhythm heal remedy listen sweet melody feel rhythm heal remedy rise challenge live life enthusiasm else fall deep rearrange thoughts like hold back jump across track cos attack,Rise To The Challenge
43,TRHQJCR12903CCDA9F,usher hey daddy daddy home usher baby wan get attention really wan love head coz get n't wan get yeah girl n't scar n't knock ring bell float bottom air 'll get hot know well walk wan hear say daddy home home know 've wait love day know daddy home daddy home time play time play n't get give love away ladies say hey hey hey daddy hey hey hey daddy ladies say hey hey hey daddy hey hey hey daddy n't get lot flexin shorty already know girl tonight 'll gon lot sexin n't nobody body like ohh n't knock ring bell float bottom air say 'll get hot know well walk wan hear say daddy home home know 've wait love day know daddy home daddy home time play time play n't get give love away ladies say hey hey hey daddy daddy know like hey hey hey daddy ladies say hey hey hey daddy hey hey hey daddy poke poke right fall back work chair damn thing let neighbor hear poke poke right fall back let work chair damn thing wan hear say daddy home home know 've wait love day know daddy home daddy home time play time play n't get give love away daddy home home know 've wait love day know daddy home daddy home time play time play n't get give love away ladies say hey hey hey daddy hey hey hey daddy call daddy babe ladies say hey hey hey daddy hey hey hey daddy hey daddy know like yeah,Hey Daddy (Daddy's Home)
44,TRHIVEJ128F14749AD,dominique courage des oiseaux dieu que cette histoire finit mal imagine jamais très bien qu'une histoire puisse finir mal quand elle commence bien imagine pourtant très bien voir jour les raisons d'aimer perdues quelque part dans temps mille tristesses découlent l'instant alors qui sait qui nous passe tête peut être finissons nous par nous lasser seulement nous avions courage des oiseaux qui chantent dans vent glacé tourne ton contre mon que vois vois plus c'est ainsi qu'on continue donne pas cher nos peaux parfois qui sais qui nous passe tête peut être finissons nous par nous lasser seulement nous avions courage des oiseaux qui chantent dans vent glacé seulement nous avions courage des oiseaux qui chantent dans vent glacé,Le Courage Des Oiseaux
