,userid,playcounts,trackid
26,604d906f3fd40383e39c2b75fb6e90f8ee742ca7,5,TRAEHHJ12903CF492F
27,55a653641aa684a958e01a49442c6d4da2badd8d,3,TRAEHHJ12903CF492F
28,07046c62a9dcf4eebd2c979a9847b12fc624d23a,1,TRAEHHJ12903CF492F
29,cbf111c324aa93ddb602dd9ea26b4ffcf5b0279d,1,TRAEHHJ12903CF492F
30,cd2cfefe1d96ad6685cd5dbf433469a0e541cd02,6,TRAEHHJ12903CF492F
31,24d0332ad64a52241091eb0a00a84993727c760c,21,TRAEHHJ12903CF492F
32,2795e5d515d817a5308c2e16ce0cdd2480474f34,3,TRAEHHJ12903CF492F
33,847f841d124e60a5cda2c046e455e9c15e7ac8cd,6,TRAEHHJ12903CF492F
34,ffca2f5069c381b20171dc14404b2e5e1141692b,7,TRAEHHJ12903CF492F
35,5a7ee1e5519d1652b79d90f98f477654dcea8193,1,TRAEHHJ12903CF492F
36,16ca2088a2ec137cf4597a2b3e2e0136930af8a1,6,TRAEHHJ12903CF492F
37,373ecbeb61e43aebef7ef8bdb86d58c041d478bf,5,TRAEHHJ12903CF492F
38,b1df47107983ce6b5b048292add5172f2f45c263,28,TRAEHHJ12903CF492F
39,d9bee795f2c513b1dd6e0a21df9384c50e37ab5f,1,TRAEHHJ12903CF492F
40,f0d62589e7dc741876f5f56447b224dffa843067,1,TRAEHHJ12903CF492F
41,b49b4c911887422e7d8e93ff6024cfd1481a7a26,30,TRAEHHJ12903CF492F
42,de40b8e490e2e437a2fa8eecbcb8cb1428f350b3,10,TRAEHHJ12903CF492F
43,2173349af60cca7bdede34a2f30a2a6282f0cfaf,12,TRAEHHJ12903CF492F
44,134aaf50309691041e71d2db6109799b6837c8ff,5,TRAEHHJ12903CF492F
45,77c928af0a3be1f1d529caac1e4bb3de1cebba5e,43,TRAEHHJ12903CF492F
46,4b26fdf7b58e33f22e34a6a271c5a4aa037331fe,5,TRAEHHJ12903CF492F
47,da7830e1d8cbf91324d11b365b8c5b5f1a3c1a8a,2,TRAEHHJ12903CF492F
48,70704a96b04569f6564d47d897d19e45da8ce163,19,TRAEHHJ12903CF492F
49,f1f5d736526d3d25735dce8af343660faf20fd34,2,TRAEHHJ12903CF492F
50,849d1675036c83b2404f13bf249a05dd4880ecc4,6,TRAEHHJ12903CF492F
51,ae147632af6757213b3a0110d8a0ecf2d36691ee,4,TRAEHHJ12903CF492F
52,6b9870a315748c5f01522bf0b28881e1a19626da,23,TRAEHHJ12903CF492F
53,48ed3b41590075134d8be6658ebcbfa22b8c1b74,2,TRAEHHJ12903CF492F
54,cdb9be471e86d0941731c12034bf10c6726a09b9,14,TRAEHHJ12903CF492F
55,7915d02eb649e14629691efcddbe10b3ab9a792c,2,TRAEHHJ12903CF492F
56,ca0389325d560df3809ad1d126a838eec73b0a1d,14,TRAEHHJ12903CF492F
57,7f1a9d6e8335db6f7f5aa15996c194623a5ab795,5,TRAEHHJ12903CF492F
58,9f7323adccc61db1c261acf97e2468f776faaf8f,1,TRAEHHJ12903CF492F
59,6e4464ecd8c2b529626e556e3530c35b9ddd3cac,16,TRAEHHJ12903CF492F
60,78efb22542ead4b5b4c683075f640d0435cb0469,1,TRAEHHJ12903CF492F
61,9e8bb9a929188a6ffbd27c932df116029182a9ff,1,TRAEHHJ12903CF492F
62,2e838573651543305f97c5f23debfbc840454b54,3,TRAEHHJ12903CF492F
63,6d6acd6ffddc69d0da4b9ceeed8de0a1f3a8e12d,2,TRAEHHJ12903CF492F
64,61873f14b52d208fd7830d258cc1a96da941a2a2,13,TRAEHHJ12903CF492F
65,b9f63d795ac59f242f5baaeec97a24461da568ab,8,TRAEHHJ12903CF492F
66,cb3dac9635dd0fe5cf8677a733fc8c739b66bead,6,TRAEHHJ12903CF492F
67,e74446e90d1618afef0e3e5a70dd2cc571352710,1,TRAEHHJ12903CF492F
68,0d556d0b8d89d99abcb10b862586ff3d5f9f5dc7,32,TRAEHHJ12903CF492F
69,7af67014f661a3aa87072cbbd2dddb7a72e496e0,7,TRAEHHJ12903CF492F
70,b9625ad83bab8e0e9dbe7ab051b2becc202f50b6,1,TRAEHHJ12903CF492F
71,0e27914cb04ddc0e53a4ecdc7336181e327d4b28,15,TRAEHHJ12903CF492F
72,a87466710869cddb3e33d3395305c767cb534230,6,TRAEHHJ12903CF492F
73,c39fbe158c5cde44c1d1ce4a5031d736e73b2e63,1,TRAEHHJ12903CF492F
74,54070bb90b6240249c79a53abcc67965a71001d4,5,TRAEHHJ12903CF492F
75,39fc236a3f13ff85d27b6e9e80a40ce7bf683b27,2,TRAEHHJ12903CF492F
76,1ce57ca4746bce45d7bc3732aca5bdf3262d33be,38,TRAEHHJ12903CF492F
77,ed9d7edf01c1281610eeff3044e7041eb83ae25a,1,TRAEHHJ12903CF492F
78,4df0562280677a09e36838e350c23c3b4cc63844,19,TRAEHHJ12903CF492F
79,2c6580e546c87f828e08e9a75551a6e4dac69d3a,10,TRAEHHJ12903CF492F
80,efc780aa9c660a83f7c05bc6d75b7c47707d0992,23,TRAEHHJ12903CF492F
81,72a1c5c13306b73dd1f8b3526dbe9b23079c7468,2,TRAEHHJ12903CF492F
82,8a64b2fbcac4c67047f80cddc9e241716f563bd6,4,TRAEHHJ12903CF492F
83,84b9555110e8de9d2da568afe1fbe56b8684a407,11,TRAEHHJ12903CF492F
84,4a16fd8943913c0268b360bd12f37a4736c2b897,10,TRAEHHJ12903CF492F
85,d1be083ce8898091d4ec8666fd9dc7695214f82f,1,TRAEHHJ12903CF492F
86,f98f8185fe4b749e8544bb2553043dcd6bdca773,2,TRAEHHJ12903CF492F
87,dcdf00b0c05546212eb0997b3bd4bbc049e24e03,25,TRAEHHJ12903CF492F
88,51fb0c6f89320241c4daaf73a37d8e582d628935,1,TRAEHHJ12903CF492F
89,898e5d059d022473b8b3e944ae54f1ad8e1c7b70,51,TRAEHHJ12903CF492F
90,7ef29eb3ecd099310ec5e4a38b1f32374d49ff1d,1,TRAEHHJ12903CF492F
91,84626fa9e6af08a66795dfc89e1e54460b4d8206,1,TRAEHHJ12903CF492F
92,04cc9963e0e3fcee197a655d41ee4f82a11d45cb,6,TRAEHHJ12903CF492F
93,7da2042173b112adea2c509fe32c2e6cdd111476,35,TRAEHHJ12903CF492F
94,29333537efed306786efabd8f8b74a34add96255,1,TRAEHHJ12903CF492F
95,04a3cf001048b04d5ef7ae73f1067b9a290d3794,5,TRAEHHJ12903CF492F
96,c681fe92cf8c7a82824e374e96d34d3a0ac60055,1,TRAEHHJ12903CF492F
97,0af269ae8ccefedce1f9946e6b14ea9b29e917dd,1,TRAEHHJ12903CF492F
98,c5ae154357a61fe2c936e2c16162c3e6548cc06f,2,TRAEHHJ12903CF492F
99,87b17a72f663be5d8c3c40f857e6406656ca1cd7,1,TRAEHHJ12903CF492F
100,9b7110c3dad9114427df053a60b7d989c0b8ebae,6,TRAEHHJ12903CF492F
101,18b358e47175902b9f004ac3b5d0fa52a3704f81,1,TRAEHHJ12903CF492F
102,9ff7be37d7217bfaae9600d3ef90e81774bffb48,2,TRAEHHJ12903CF492F
103,d59596b2ceb25f76a64540703d92ade1c50e3bfd,10,TRAEHHJ12903CF492F
104,7646dc0f0a80504d4e6e6cce8a1aa11b1ad34d00,19,TRAEHHJ12903CF492F
105,d2a0edfaa50ee17867778257cc44aa2b5bc8b633,1,TRAEHHJ12903CF492F
106,ce25b00dd1c07541661d82430347a5b5c94e946f,4,TRAEHHJ12903CF492F
107,232c79dc3e6e06faf3d12324f1eccb7dd2212595,7,TRAEHHJ12903CF492F
108,ae2b5647dde301f9c008d8ad9136db322dd96090,20,TRAEHHJ12903CF492F
109,d19062a5a043da421e6027e4d554ca2a961e6414,46,TRAEHHJ12903CF492F
110,19b46d41becd47c64ba6133fd4d32566aabb0b18,5,TRAEHHJ12903CF492F
111,b90ae6b6afbdc09cd956087bc36d41df447cf22d,5,TRAEHHJ12903CF492F
112,ae4fa13906c2c0641fc32be358d61c36b82daf3d,2,TRAEHHJ12903CF492F
113,66439395b9fe3e6c5cbfc3274be87aebeb6b4670,2,TRAEHHJ12903CF492F
114,92e4a1223dbde968430e9e122b53f69e70fe2f94,34,TRAEHHJ12903CF492F
115,48ba68e4bde20fc692c093bd64e034dedc467556,4,TRAEHHJ12903CF492F
116,d9174be7353259791b6a494db9623ce276eb077a,1,TRAEHHJ12903CF492F
117,267b7dfcf58593775d5f983c920db1e1f56b7ed5,5,TRAEHHJ12903CF492F
118,4446be4e6335eb442cb35fce7320e291d79b1dc9,3,TRAEHHJ12903CF492F
119,43356d50af67a2b956fe6f2cefae3ad5fd6a0880,2,TRAEHHJ12903CF492F
120,0beafbb9991ff1c603067d3bdf3cf5974a32941c,45,TRAEHHJ12903CF492F
121,475dd138d5d2ce4937d76777c2373960c17899a3,2,TRAEHHJ12903CF492F
122,b3631691f66eeada7ff3c0498f492e68dd111607,1,TRAEHHJ12903CF492F
123,f1684cbca111be538cd9081acdea4b017b8ad274,3,TRAEHHJ12903CF492F
124,c9c5a0b5b54d186055a7dafec293ad2d1e4df66a,5,TRAEHHJ12903CF492F
125,c6f8db4f735a8e4f3d2d9d2d8ad427106dfe6ac8,1,TRAEHHJ12903CF492F
126,8b5a0255e8d1eba0bfcdceeda88ca28fa77ee5ae,1,TRAEHHJ12903CF492F
127,e24f4d6e4a9206a4e1421c35029535a88b03fa03,9,TRAEHHJ12903CF492F
128,4bb4d50b2a9caff440acf2efb9d9047188bd1e96,8,TRAEHHJ12903CF492F
129,e2a0710cc9c94b3657a70af6b9f943a3d2c9b97b,12,TRAEHHJ12903CF492F
130,aad9584f8fbd7020e68e1b7b8dcf1832f17fd70f,1,TRAEHHJ12903CF492F
131,5ba47b84ecd4cc8b77cd7e4daa38d2fd0841e1e0,29,TRAEHHJ12903CF492F
132,fc172552198d6b6cd3a30defc12a93176f48dedc,2,TRAEHHJ12903CF492F
133,af8b266210f9f15c6edd989d31fd48342b128909,6,TRAEHHJ12903CF492F
134,1bc9c8ab534900c15bf4ce743f1cc9ad8664e4ec,72,TRAEHHJ12903CF492F
135,aa7664ca29c7e4e8f6699e219535fe87c45369a2,1,TRAEHHJ12903CF492F
136,46150276a97a158c3fd18b033eb98ca8c2a2f70e,1,TRAEHHJ12903CF492F
137,1a1b6523f00e5f6b690bdd89ea09f36df4da8ca1,5,TRAEHHJ12903CF492F
138,27f6de243284e6beec06215168fdda6cec80dc0b,1,TRAEHHJ12903CF492F
139,8aeeb65f0268b7a05000e6d3134ce90556a5bc59,12,TRAEHHJ12903CF492F
140,816ceafef96c48e4513478d57231801c1bfe3406,1,TRAEHHJ12903CF492F
141,958c2c1e1ca3a24edf370d347e246de0d96fc0e9,5,TRAEHHJ12903CF492F
142,281fedf10aa1713e623c7afb203ff5997f28f912,5,TRAEHHJ12903CF492F
143,5311b36846f83f6267f0b77e56cdc6415b1eb8eb,5,TRAEHHJ12903CF492F
144,952fe1edc704578fec5ccd772ccc217988660def,1,TRAEHHJ12903CF492F
145,daede76c983bc66f7bbad7bc5f9d175b7ad99fb0,12,TRAEHHJ12903CF492F
146,bc5ab60f74ca0b23cbac2c58291c23b7404aa6f2,1,TRAEHHJ12903CF492F
147,1d77cfad3e304fde324c4b42f915d0820f5f2149,11,TRAEHHJ12903CF492F
148,9ff511f759193da8a20fe95a60b9ea8a9a396ef3,14,TRAEHHJ12903CF492F
149,2513ae1cd7981380c377a28b50a4e4705a2caefb,3,TRAEHHJ12903CF492F
150,21ad9c698d338d7aff611e122bd22f1b9d184e95,81,TRAEHHJ12903CF492F
151,469d1482811101b0330c14f25528d1a33836d21d,1,TRAEHHJ12903CF492F
152,9d6d7879e1f4e1708b0d9b33e2a1ba42e99dca0c,7,TRAEHHJ12903CF492F
153,6bcdfc7835daa903a4c9546ac12174a105386a69,99,TRAEHHJ12903CF492F
154,fd7787001c7d5d700c28a815079581a351fcf4e3,10,TRAEHHJ12903CF492F
155,94092e8892320f6f94db4baf440c037c6f2d8275,2,TRAEHHJ12903CF492F
156,68b93986049b78f794aa87812266378554ea6818,1,TRAEHHJ12903CF492F
157,34a4e609d1bfc19cc7456b66ee1cdee6dca750a6,55,TRAEHHJ12903CF492F
158,d15144794b772b5a4c5cc23b9f0060fb160a2ac9,9,TRAEHHJ12903CF492F
159,06f8b0994b7a3dc340c10f488dcca78cbcceb1d9,23,TRAEHHJ12903CF492F
160,d848af124f7325c9852d8eb58ca111f5158ef07d,12,TRAEHHJ12903CF492F
161,24c99a14e6e59bea64928d49466743eb2db0c10e,5,TRAEHHJ12903CF492F
162,122fcac8bc68811332da0b8b87231a8f558d51e2,6,TRAEHHJ12903CF492F
163,74abfca0c0da00ea77df7288f5f297a681a9a59b,1,TRAEHHJ12903CF492F
164,36153ad828cc323c690145ef3cc79ced8a8d6414,5,TRAEHHJ12903CF492F
165,33639ebecc700e1f1011eee905d42ff6f7068e3e,2,TRAEHHJ12903CF492F
166,5f4ab1b3a786af1ee918d36c18e4ad0193a3d6aa,1,TRAEHHJ12903CF492F
167,58962cca04cabeed50e9b910572104cf75b7f0f9,10,TRAEHHJ12903CF492F
168,d7c01e0589033102d9873db48b82f54ad7a1f22f,1,TRAEHHJ12903CF492F
169,166d7ca6aad5e3948a0865d99ff88cb0a62dcee6,7,TRAEHHJ12903CF492F
170,0fa299125c854fd2d116a15dd75e03e8009c3f37,34,TRAEHHJ12903CF492F
171,3a7f1788c2146af8f8493af66bfa94ae629f8fcb,3,TRAEHHJ12903CF492F
172,4fa34280313a14f14862a80ec0c79efd384e1a17,2,TRAEHHJ12903CF492F
173,20507ed3fbaa33a14b97042b85aa5fe111af7df1,1,TRAEHHJ12903CF492F
174,d4916b808867eef0010553d2b4adc693a6ed7f3d,1,TRAEHHJ12903CF492F
175,a0d7afa65950ac4d285f066a2afe9d1243509778,14,TRAEHHJ12903CF492F
176,ec856156d551719f779d3b317b8ee333174bcb24,8,TRAEHHJ12903CF492F
177,22b774fa8ddacf2e05b377a13adacbc319533a84,6,TRAEHHJ12903CF492F
178,d33f17e585982a83188f5022dce05bcf65456d6a,5,TRAEHHJ12903CF492F
179,b56d13f2ccb7b5cfe329cd639b85c3f0bba4923e,1,TRAEHHJ12903CF492F
180,d69a53dc4eb6d5fc8b0158240318816706b1e5fb,1,TRAEHHJ12903CF492F
181,a9c473f658883627c0f0bbf45ebbab9160675a80,1,TRAEHHJ12903CF492F
182,cd750fb90b1bb20acc4bdf205a4e5441c5f93377,6,TRAEHHJ12903CF492F
183,002dfbc3c073b55a64a4abab34c0ca1f13897f1c,2,TRAEHHJ12903CF492F
184,9293204590b0dca779f40381a97e0955ada07e3a,19,TRAEHHJ12903CF492F
185,6224ede6bef4467836ff1840e881e2ba18f69d0c,1,TRAEHHJ12903CF492F
186,682291cdecf11369be6a672992c77d694a1364f1,2,TRAEHHJ12903CF492F
187,3da15863fd6d6e0a91674fe893929238636dde83,1,TRAEHHJ12903CF492F
188,6807d8b5c9f1de78aaaea0791865773eafc9cebe,1,TRAEHHJ12903CF492F
189,4d4b3331b92f3135dee978402efe7adcc5e47f0c,1,TRAEHHJ12903CF492F
190,52d815e53a3614e5a47dc4e95024a2354e9a6c58,3,TRAEHHJ12903CF492F
191,32c87ab880f6af32d2d1ec07580d69dd916d4643,1,TRAEHHJ12903CF492F
192,db978358a3d6c971c32b0006fc98c34bcf377868,1,TRAEHHJ12903CF492F
193,dcb30df92b61dde03643e0667a4ce4b7e2f2f4e3,1,TRAEHHJ12903CF492F
194,8ef1312e95e2dc3ad39bec7f1a2d55de2e16ce06,1,TRAEHHJ12903CF492F
195,9a3be2d221ac0b7faa677b7b4aecbda5c8625c9c,7,TRAEHHJ12903CF492F
196,298e65e80641f7f3228a45599924314ea02e8828,8,TRAEHHJ12903CF492F
197,b3c816f3fbc289331c8123aa5bb949cf42ffc856,5,TRAEHHJ12903CF492F
198,e48ec63ed90a119eafe5338b18850ad2502e6910,4,TRAEHHJ12903CF492F
199,37a309640004e11829ff173e9c3f9fbd2e07ab29,9,TRAEHHJ12903CF492F
200,8683a5e3cf979bb0a54d5b721873e20a23abfb60,3,TRAEHHJ12903CF492F
201,e63b953e231d190aa5a9ee09b86bade6c130d07f,2,TRAEHHJ12903CF492F
202,2f46634ee81fed0870b6698d31216a7a42dc5540,5,TRAEHHJ12903CF492F
203,c4d9b4cbcf3808e3b910f3e7a81d5f1973333f3a,3,TRAEHHJ12903CF492F
204,17b86e035458daf351660526bc17ea4613ee414b,10,TRAEHHJ12903CF492F
205,b1c1ab57e13cf24235bd82d6b2343fc8be745f8e,12,TRAEHHJ12903CF492F
206,38229f4a6cd45806da540b4f422228a9eeeec194,2,TRAEHHJ12903CF492F
207,23d5d98076b405f94a5cbbc49305ffc3270e57a9,3,TRAEHHJ12903CF492F
208,c6a280723597a7c754ffcfa82f43e252f997cbbc,8,TRAEHHJ12903CF492F
209,c82069b9f9f5ebc93b6ef9078f85551227314b6f,1,TRAEHHJ12903CF492F
210,ea47064852706a428dccd5ae46203ea7a8cae181,1,TRAEHHJ12903CF492F
211,049b49580e580f26a407494fdbc7c6cfc41729a4,1,TRAEHHJ12903CF492F
212,fc59da7652dd04b3b6bb3f4c482d9759007a5556,6,TRAEHHJ12903CF492F
213,2dc387ed9d7dd721c047feba72e65cd55a90dbe8,5,TRAEHHJ12903CF492F
214,2d17f24889de7edd78ecac6df049bfc6ca56b69d,21,TRAEHHJ12903CF492F
215,205ca24be144c188ce91f25abc7c14d7bfe8644a,9,TRAEHHJ12903CF492F
216,ad348b39f22bd082eea17f6f359031d409f479d6,1,TRAEHHJ12903CF492F
217,39882a957d4afd74ac00b94664352dd77f94558e,1,TRAEHHJ12903CF492F
218,a6d73541432adae60d1ad5b0a3491fe89434c252,15,TRAEHHJ12903CF492F
219,a6668bf40012c68459e4e0bb24a4a6598f65ad7d,1,TRAEHHJ12903CF492F
220,a075a6104900c35d9d67d88f3a29c11d6d86867d,1,TRAEHHJ12903CF492F
221,c748ae23bf3a5d8b45b1e88203281c7c7258882b,1,TRAEHHJ12903CF492F
222,27c971ada9259f1bd643f1d0135c81383c3249c0,17,TRAEHHJ12903CF492F
223,7e458396c932666aaebff682e1421f2faccc84a6,1,TRAEHHJ12903CF492F
224,76a16aa30bcbf97e0d3ced6e589298764dd97b32,3,TRAEHHJ12903CF492F
225,e3ff4c09ba26a0068810ed21cfb88af2461c9181,1,TRAEHHJ12903CF492F
226,45fb06ad6b279029eb8db7b56ceb0c30f4985abc,1,TRAEHHJ12903CF492F
227,ebb6d912f15e74306313eba3a1aa79a26d63ce8f,1,TRAEHHJ12903CF492F
228,1aac86fd58cecb462e6599367d723472e16cfe1c,2,TRAEHHJ12903CF492F
229,8a8b56bc75e4095660ecf20c71b9ded043a45157,5,TRAEHHJ12903CF492F
230,94da4376dcc829758b49f6f96c6ae1682e3a9090,53,TRAEHHJ12903CF492F
231,4315de90aa40692bfb5169bc248322fffe0e12a1,1,TRAEHHJ12903CF492F
232,481e2e957c14d268e3fd37ee3a1032d33e82af4b,3,TRAEHHJ12903CF492F
233,9830c25e4797d5431058b7245ef7a487a7a59414,2,TRAEHHJ12903CF492F
234,4495e44736fad3c6522b13f4eed719ea4ebbdb46,1,TRAEHHJ12903CF492F
235,52f5d45f98be38ec5134c3bf7749e970b21c74aa,63,TRAEHHJ12903CF492F
236,88750e8fa70414b3ab7b03b699bac626beb04cf0,1,TRAEHHJ12903CF492F
237,e5a81a75ff7f6d50dd39365baf46b1f700dc6fa7,23,TRAEHHJ12903CF492F
238,170d7a47eae07524cf3deb7d6f0d7ca023dcd464,3,TRAEHHJ12903CF492F
239,695e7a5e7335e7441459b4ba0af11d7bf581b24e,1,TRAEHHJ12903CF492F
240,d6d16ef44b941a6137940b4c27c25eec97c023eb,57,TRAEHHJ12903CF492F
241,11135423aa3a6afe50b5f7b8ab8ec5c7651e7f86,61,TRAEHHJ12903CF492F
242,280013f831dfddd94399e8405903cc87dbbb2666,1,TRAEHHJ12903CF492F
243,e20d096c73038d32ac40f2374b63920c8e9afbfc,1,TRAEHHJ12903CF492F
244,6a4accac0af37fb26986d7feaf8c321306d65783,2,TRAEHHJ12903CF492F
245,03be4cbe2d71991995cf45d49bf60e9dc30c86b6,14,TRAEHHJ12903CF492F
246,6833868122c4d0de0159b008f74ce051adbbbff6,1,TRAEHHJ12903CF492F
247,abf726b8b0df35016f08e74a919c818e6491ebf4,1,TRAEHHJ12903CF492F
248,3a55516936d96d4abb5d09d9c21c5b403fa9d876,18,TRAEHHJ12903CF492F
249,ddd96f5669c70612106b4098120e1c9f9c85c7d4,1,TRAEHHJ12903CF492F
250,d9d5dab5d475713a126065eb7f29831a393c1a0d,22,TRAEHHJ12903CF492F
251,2018338f4a23969a9517c59f8ceadee81c77eedd,1,TRAEHHJ12903CF492F
252,7ec80341288d759f0f149e01613c48d3e3d66b0f,2,TRAEHHJ12903CF492F
253,52a49ae1f6d300c4249e8b7e8ce86cc5fda8e938,73,TRAEHHJ12903CF492F
254,0a64a0f48d39389bf6353a3b2c53da53beef916c,1,TRAEHHJ12903CF492F
255,01f09bf443fa224900c3aba7d0206a53616506a1,2,TRAEHHJ12903CF492F
256,a5584fbd7a4b7921d4dc8dcf14e860f2813040cc,1,TRAEHHJ12903CF492F
257,9b836283b6f184b536437c5387e8f6d794d29128,5,TRAEHHJ12903CF492F
258,4cdb285d0eec96efdb89f096a70a9f66855713e5,2,TRAEHHJ12903CF492F
259,b6a831c158fd4a601d08c6079b4c843dd83fa188,1,TRAEHHJ12903CF492F
260,cfe4b5fa88ce47d78e994c54c9e759f26567fa71,2,TRAEHHJ12903CF492F
261,08bb2052c0aa9c8d467f2d74fa82bd2293e50093,5,TRAEHHJ12903CF492F
262,b1f7ffd21147da9e6151e69b223f49cbfdf8b001,9,TRAEHHJ12903CF492F
263,fa349d954daf487ab2321129040d34390abea6aa,5,TRAEHHJ12903CF492F
264,beeddd53dfaa6d29c12ff3a37a3514659be16af3,5,TRAEHHJ12903CF492F
265,edfc96013e4454dc155a4c68d1474dd3bbd90fba,10,TRAEHHJ12903CF492F
266,83ecd9426e205dd9abcc6e6a7e6de08a9601d7d9,1,TRAEHHJ12903CF492F
267,094f4d2920039ecfc1493d358fc69a5d636b6057,3,TRAEHHJ12903CF492F
268,f46d0d4814cf346838cc03c67125f83127138c62,2,TRAEHHJ12903CF492F
269,c2c1a6d179ca3c8ce821b3af18e0a7f6b19fe2d9,6,TRAEHHJ12903CF492F
270,375bf13a9c97da1625efb631c9947ac8b209053d,5,TRAEHHJ12903CF492F
271,91fe0370b4c39bebcf2d0c906aea35d84e8ba118,1,TRAEHHJ12903CF492F
272,3531460e4a3abde82f1a618b2e43ff31ed89da81,28,TRAEHHJ12903CF492F
273,c7980bbf0215b07c468415f92591723b4eb53111,65,TRAEHHJ12903CF492F
274,275d440c68f3bd4b545092039a9de48ba44ee997,11,TRAEHHJ12903CF492F
275,78946b28c582bc7663172595cce11bb3095dba30,1,TRAEHHJ12903CF492F
276,560dd28358846aaad458989d15a4cad10746a83e,2,TRAEHHJ12903CF492F
277,1be5615d7b6f93056a4f80c4c4e5d159a9a5a083,1,TRAEHHJ12903CF492F
278,9e42ad98ec328729c1e71add735df096646a2155,1,TRAEHHJ12903CF492F
279,e0369df296428e4e2acfffac216fe55fc0f46218,2,TRAEHHJ12903CF492F
280,221d103dcfcc0020875bcbb646d0b18c81019c46,14,TRAEHHJ12903CF492F
281,b59d070cfb9166dc9516bc7cba4716d756e39e06,1,TRAEHHJ12903CF492F
282,ccc6c441f2d766d76a06268ab4ed92194abd764a,6,TRAEHHJ12903CF492F
283,ee0bbb1e397c7f77ffe1805410f00d06badfbf9c,1,TRAEHHJ12903CF492F
284,7ae8a8c725033b18292ce8427805d995ba857f5a,7,TRAEHHJ12903CF492F
285,52b81355c5e758ed0d0ca8c7819da50c63f32f1a,2,TRAEHHJ12903CF492F
286,2ea6939588c3a93f90477819038f4d64bb361a70,2,TRAEHHJ12903CF492F
287,757bef0bdf9ce6782b611fe0aec74308db74a4e8,9,TRAEHHJ12903CF492F
288,d5cd2175d71a5fcff2b88ced9f78b06bb024042c,2,TRAEHHJ12903CF492F
289,0c87263e381bbb4309eabc23d7e4a3cf66dbc25a,3,TRAEHHJ12903CF492F
290,457cfb3ee3f9829770d0e8c4cb3e4b3e15311ebd,1,TRAEHHJ12903CF492F
291,18cb2e32c48b4b447d2dfbdfe99c4e2047b90c0c,5,TRAEHHJ12903CF492F
292,297b9415cbcaa78527fc93ba9521ec52601330c9,1,TRAEHHJ12903CF492F
293,b8585768547d60632cae67009713f9573e622b73,7,TRAEHHJ12903CF492F
294,d43a70c48f5ddf9bf89652c7cbbf372582b7754f,1,TRAEHHJ12903CF492F
295,f3564ebb56528e8b2eea957b796929bbe4dc51e2,3,TRAEHHJ12903CF492F
296,bfd0aafc706cdb2aebc2afdd9b54591de401cb3a,2,TRAEHHJ12903CF492F
297,952351ab9301a5c21098acf803885806194567ac,11,TRAEHHJ12903CF492F
298,17792f0308868ef0937e3a0617c8fd56c0dd2bd5,26,TRAEHHJ12903CF492F
299,e3e8e7738591f9ff78551ca5e5d20758b6044154,53,TRAEHHJ12903CF492F
300,46a88d05722028931ce9e91294f673cad1863749,1,TRAEHHJ12903CF492F
